title,company,salary,location,summary
newGraduate Software Developer (Data + Analytics),Qudos Logic,"Up to £50,000 a year",London•Temporarily Remote,"
Your responsibilities will be to help clients build and modify data platforms that support algorithmic trading activities.
Bachelors Degree in Computer Science.
"
newPrincipal Data Analyst - Permanent,Comic Relief,"£56,940 - £62,000 a year",London•Temporarily Remote,"
The Principal Data Analyst is a new role which leads a team of data anlaysts and works closely with data engineers and stakeholders in the use of data modelling…
"
newInnovation Product Analyst,bp,,London,"
Being digitally enabled and empowered by customer insights and data to deliver solutions.
Use data and analytics to help inform decisions and ensure adequate…
"
Data Visualisation Analyst Intern,G-Research,,London,"
Use data visualisation techniques to make complicated data accessible and understandable to inform decision-making.
Have excellent problem solving abilities.
"
Data Analyst,News UK,,London,"
You utilise SQL to manipulate and process large data sets to enable concise reporting and analysis (through data warehouses like GBQ/AWS).
"
newBusiness Analyst,Kingsley Napley LLP,,London,"
Extracting business requirements using interviews, document analysis, workshops, surveys, business process descriptions, data analysis and task and workflow…
"
Business Analyst Apollo Programme,Deutsche Bank,,London,"
Good understanding of the technology data flows and dependencies.
You will be working in close collaboration with the Chief Product Owners on the continued…
"
Graduate Insight Analyst,Gamesys,,London,"
Pro-actively analysing data from multiple sources to provide actionable insight.
Improving current processes with new, innovative thinking to incorporate data…
"
Data Insights Analyst,Verisk Financial,,London,"
Must perform extensive data analysis using SQL.
Conducts analysis work that is complex in nature as well as synthesizes large volumes of data into actionable…
"
2022 UK L6 Data Analyst Degree Apprenticeship - London Paddi...,Vodafone,"£21,500 a year",London,"
And you’ll develop into a Data Analytics expert who can use a range of analytical techniques, present data visualisation, create reports and make…
"
newIT Service Desk Analyst,University of the Arts London,"£29,851 - £36,377 a year",Elephant & Castle,"
Educated to ‘A’ level or equivalent in maths, computer science or data analytics.
The Service Desk is the first contact for IT support for staff and students…
"
newData Analyst (Quality),Newmedica,"£35,000 a year",London SE1 6ES,"
Experience as an information / data / finance analyst in the NHS or similar.
Experience creating content on a data visualisation platform such as Power BI or…
"
Data Analyst,WorkYourWay,,London,"We are looking for a Senior / Commercial Data Analyst to join our Growth and Analytics (G&A) team, playing a critical role in the definition and…"
newBI Analyst,Inclusive Finance,"£50,000 - £85,000 a year",London W10 5AD,"
Beneficial: scale-up, fintech background, data warehousing experience, negotiating diverse stakeholders, challenging C-level, agile.
Building out a BI function.
"
newCorporate Data Analyst,Railsbank,,London EC2A 2DQ,"
Support embedded data analysts and data scientists to understand and use the corporate data model.
You will work closely with embedded analysts and senior…
"
Data Analyst - Marketing Science,TikTok,,London,"
Adapt analysis to the specific research questions using a range of data sources and research methodologies.
Leverage syndicated 3rd party research services to…
"
Data and Impact Analyst,Healthy Teen Minds,"£22,549 - £24,884 a year",London•Remote,"
Developing and refining data specifications.
Developing robust data collection processes for new projects.
Developing surveys and data entry forms/templates;
"
