title,company,salary,location,summary
Identity Controls & Assurance Analyst,M&G plc,,Stirling,"
Good data analysis and excel skills including VLOOKUP, Pivot Tables and Functions.
Monitor data quality and conduct cleansing exercises to ensure that Identity…
"
Data Analyst,Nine Twenty,,Glasgow,"
Streamline the process for raw data collection and data quality verification.
Produce data to support business decision making when required.
"
Technical Business Analyst - Associate,"JPMorgan Chase Bank, N.A.",,Glasgow,"
Excellent analytical skills, especially pertaining to data analysis.
Working at the intersection of business and technology, you'll sharpen your understanding…
"
Technical Business Analyst,Virtusa,,Glasgow,"
Works on complex issues where analysis of situations or data requires an in depth evaluation of variable factors.
"
NHS - Information Analyst,Meridian,"£26,104 - £32,913 a year",Glasgow G2,"
The manipulation of data files using a variety of software packages in preparation for further analysis.
We are currently looking for an experienced Information…
"
Data Analytics Software Engineer - ETL,"JPMorgan Chase Bank, N.A.",,Glasgow,"
Experience of big data & machine learning.
Experience in data normalization, star schema, etc.
The individual selected for this role will combine a unique mix…
"
Technology Principal - Data and Analytics,Version 1,,Glasgow,"
Your CV shows technology leadership in the definition of best practices & repeatable methodologies in Data Engineering (including Data Storage, ETL, Data…
"
Data and Reporting Specialist,Hymans Robertson LLP,,Glasgow,"
Sourcing information from investment managers, market data suppliers and internal tools.
Supporting the team lead as required on various data and reporting…
"
Business Analyst/ Project Manager - Markets Technology,Barclays,,Glasgow,"
As a Barclays Business Analyst/Project Manager - Markets Technology, within the Markets Post Trade business area, you’ll be required to join the analysis and…
"
Metadata Analyst,ThinkAnalytics,,Glasgow G3 7QF,"
Analyse customer data sets to identify data elements that can be used for recommendations.
Excellent research and data analysis skills.
"
004 10 BI – Technology Developer Glasgow,Barclays,,Glasgow G2,"
Write scripts for data pulls and analysis.
As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new…
"
Senior Wind Analyst,Wood Plc,,Glasgow,"
Familiarity with SCADA data processing.
Analysis and interpretation of measured wind data.
The successful candidate will be responsible for undertaking analysis…
"
Business Solutions Support Analyst - CRM,Howden,,Glasgow,"
For system changes, write Functional Specs, Business Benefit Cases, Prepare and Obtain Approval, Test Scripts and release data/documents.
"
Strategic Business Analyst for Logistics & Customer Service...,Diageo,,Glasgow,"
As concepts become opportunities the analyst will support the Business Partner in preparing robust business cases including the measures of success and roadmap…
"
Data and Performance Analyst,Cactus Search,"£35,000 - £40,000 a year",Bellshill,"
The ability to analyse , model and interpret data.
Demonstratable experience within an analytical or data mining focused role.
"
Technical Business Analyst,Barclays,,Glasgow G2,"
Sourcing the data, preparing the data for ingestion, processing the data into networks, implementing scoring models to produce alerts.
"
Business Analyst,Momentum Security Recruitment,"£35,000 a year",Glasgow•Remote,"
Collection and analysis of data to support management decisions.
Previous experience as a business analyst with a successful track record of delivering required…
"
Business Analyst,William Grant & Sons France,,Bellshill,"
Extensive hands-on experience in business analyst tools and techniques including business processes mapping methodologies.
"
Data Analyst - Business Intelligence,Irekruit UK,"£50,000 - £70,000 a year",Glasgow,"
General data analytics concepts, familiarity with data modelling, setting up data connections in Qlik Sese and using Rest API’s.
"
Inventory Analyst,Thermo Fisher Scientific,,Paisley,"
Ability to challenge data such as incorrect inventory when required.
As an Inventory Analyst, you’ll be carrying out cyclical counts on raw material inventory…
"
"HR Business Analyst (HR Services, Process Analysis)",Head Resourcing Limited,£380 - £450 a day,Glasgow•Remote,"
The right candidate will have the people and facilitation skills that allow them to gather data across all levels of the organisation, the analytical skills to…
"
Performance Analyst - Research and Analysis (Graduates Welco...,Youturn,"£30,000 a year",United Kingdom,"
Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.
"
Commercial Analyst,Robertson Group,,Stirling FK9 4TZ,"
Undertake analysis of contract data relating to compliance and performance.
Make recommendations for improvement of how commercial data is used.
"
Software Support Analyst,Renewable Energy Systems,,Glasgow,"
Basic data analysis, network and server troubleshooting to support live and historical data issues.
Working knowledge of Excel for data analysis.
"
Data Analyst,Robert Half,£115 - £120 an hour,Motherwell,"
Data mining and data QA.
Experience in Requirements gathering, analysis and documentation.
"
"newAnalyst, Procure To Pay Process UK based in Glasgow",Hilton,,Glasgow G2 2LD,"
Experience in Procure to Pay process (or other high volume processing and accounting environments), outsourced service provider partnering (Shared Service…
"
newData and Analytics Consultant (outside IR35),Lorien,,Glasgow,"
Excellent understanding of data privacy legislation, including GDPR, and their implications for large data sets containing personal information.
"
Performance Analyst,Michael Page UK,"£28,000 - £33,000 a year",Motherwell,"
Analysing data and producing summary to supports senior managers in their understanding of compliance and service data in operational areas.
"
newBI Engineer,Arnold Clark,,Glasgow,"
Experience of data modelling and database design.
Creating and maintaining data models using Kimball methodologies.
Working from home and office flexibility.
"
SQL Data Support Analyst - Leading Property SaaS Platform,RecruitmentRevolution.com,"£30,000 - £40,000 a year",Glasgow,"
You will need to have a good understanding of the principles of Relational Databases along with knowledge of the data structures and data types used in common…
"
IT BI Analyst HR1-1182,Terumo Aortic,,Renfrew PA4 9RR,"
Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources.
"
Financial Planning Analyst - Global Drinks Business,Page Personnel - UK,"£35,000 - £42,000 a year",Glasgow,"
Maintain data links between SAP and IBM TM1 Planning Analytics.
Prepare budgets/forecast on time in full and to a high quality.
"
Pricing & Sales Analyst,Total Recruitment Group,"£35,000 - £40,000 a year",Hillington,"
Must have advanced Excel to manipulate data.
TYPE - This is a Full time, Permanent vacancy with further career opportunities*.
Job Types: Full-time, Permanent.
"
Business Analyst,Parity Professionals,,Glasgow•Remote,"
Use data modelling practices to analyse findings and create suggestions for strategic and operational improvements and changes.
"
Retail Banking Data & Analytics - Discovery Programme - 2022,Barclays,,Glasgow,"
A bank that knows its customers and clients, champions innovation and thinks digital first, offers trusted money management guidance and support, and provides…
"
Data Engineer Test Analyst,GCS Recruitment Specialists Ltd,,Glasgow,"
The Data Engineer Test Analysts will be involved in the creation and implementation of the Automation Framework including Knowledge Transfer for the existing…
"
Performance Analyst - Research and Analysis (Graduates Welco...,Youturn,"£30,000 a year",United Kingdom,"
Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.
"
Data Analyst,Robert Half,£115 - £120 an hour,Motherwell,"
Data mining and data QA.
Experience in Requirements gathering, analysis and documentation.
"
Business Analyst,Michael Page UK,"£40,000 - £50,000 a year",Glasgow,"
Analysis of data to support senior management - both financial and operational datasets.
Preparing, analysing and maintaining management reporting, key datasets…
"
Credit Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
Providing support to the Lead Business Analyst, helping to define analysis approach in…
"
BI Developer,BAE Systems,,Scotstoun,"
Applying data analysis, design, modelling, and quality assurance techniques.
Applying ethical and robust techniques in the transformation of data from one…
"
Business Analyst III,Thermo Fisher Scientific,,Paisley,"
Partner with system analysts on technical design and coordinate development work with development teams.
Solid organizational skills (especially as they relate…
"
newSAP Support Analyst,Stafffinders,,Glasgow,"
A prominent task within this role will also include monitoring data integration scenarios to identify and eliminate data replication problems, whilst supporting…
"
Business Test Analyst,Momentum Security Recruitment,"£25,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Technical Architect / Senior Analyst,Streamba,,Glasgow•Remote,"
Ability to perform ad-hoc data analysis.
Ability to analyse and understand external systems and methods of data transfer at scale.
"
SQL BI Developer,Ashdown Group,"£40,000 - £48,000 a year",Glasgow,"
The successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.
"
newInterim Finance Systems Analyst,Rutherford Cross,,Glasgow,"
Ensuring the integrity of the data and continuous improvement of the reporting from TM1.
Analysis of data from TM1 ensuring reports are meeting the needs of…
"
Digital & Technology Business Analyst,Diageo,,Glasgow,"
The analyst will s upport the Business Partner in preparing the robust business cases including the measures of success and roadmap to achievement .
"
Senior Cyber Defence Analyst,Matchtech,,Glasgow,"
Mentor junior analysts technically and conceptually.
Experience performing ""deep dive"" analysis and correlation of log data from multiple sources including PCAP…
"
Test Analyst (Business Process Testing),Momentum Security Recruitment,"£25,000 - £27,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Lead Power BI Developer,Kura,"£36,000 - £42,000 a year",Glasgow G4 0JY,"
Experienced data analysis practitioner, having implemented SQL, Power Query, M or DAX constructs to query, transform or process data.
"
Credit Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
As a Barclays Credit Risk Business Analyst in the Risk, Finance and Treasury team, you…
"
BI Developer,BAE Systems,,Scotstoun,"
Applying data analysis, design, modelling, and quality assurance techniques.
Applying ethical and robust techniques in the transformation of data from one…
"
Business Analyst III,Thermo Fisher Scientific,,Paisley,"
Partner with system analysts on technical design and coordinate development work with development teams.
Solid organizational skills (especially as they relate…
"
newSAP Support Analyst,Stafffinders,,Glasgow,"
A prominent task within this role will also include monitoring data integration scenarios to identify and eliminate data replication problems, whilst supporting…
"
Business Test Analyst,Momentum Security Recruitment,"£25,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Technical Architect / Senior Analyst,Streamba,,Glasgow•Remote,"
Ability to perform ad-hoc data analysis.
Ability to analyse and understand external systems and methods of data transfer at scale.
What You Will be Doing.
"
SQL BI Developer,Ashdown Group,"£40,000 - £48,000 a year",Glasgow,"
The successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.
"
newInterim Finance Systems Analyst,Rutherford Cross,,Glasgow,"
Ensuring the integrity of the data and continuous improvement of the reporting from TM1.
Analysis of data from TM1 ensuring reports are meeting the needs of…
"
Performance Analyst - Research and Analysis (Graduates Welco...,Youturn,"£30,000 a year",United Kingdom,"
Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.
"
Data Analyst,Robert Half,£115 - £120 an hour,Motherwell,"
Data mining and data QA.
Robert Half are now recruiting for an experienced Data Analyst to join one of our valued clients that are market leader within the…
"
Digital & Technology Business Analyst,Diageo,,Glasgow,"
The analyst will s upport the Business Partner in preparing the robust business cases including the measures of success and roadmap to achievement .
"
Power BI Developer,MBN Recruitment Solutions,"£30,000 a year",Glasgow•Remote,"
Strong SQL skills for stored procedures and to translate meaning of the data.
The current Tabular models are built in SSAS within an on premise data warehouse.
"
Senior Cyber Defence Analyst,Matchtech,,Glasgow,"
Mentor junior analysts technically and conceptually.
Experience performing ""deep dive"" analysis and correlation of log data from multiple sources including PCAP…
"
Test Analyst (Business Process Testing),Momentum Security Recruitment,"£25,000 - £27,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Salary: £25k - £27k*.
"
Lead Power BI Developer,Kura,"£36,000 - £42,000 a year",Glasgow G4 0JY,"
Experienced data analysis practitioner, having implemented SQL, Power Query, M or DAX constructs to query, transform or process data.
"
Data Engineer Test Analyst,GCS Recruitment Specialists Ltd,,Glasgow,"
The Data Engineer Test Analysts will be involved in the creation and implementation of the Automation Framework including Knowledge Transfer for the existing…
"
Business Analyst,Michael Page UK,"£40,000 - £50,000 a year",Glasgow,"
Analysis of data to support senior management - both financial and operational datasets.
Preparing, analysing and maintaining management reporting, key datasets…
"
Credit Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
Providing support to the Lead Business Analyst, helping to define analysis approach in…
"
BI Developer,BAE Systems,,Scotstoun,"
Applying data analysis, design, modelling, and quality assurance techniques.
Applying ethical and robust techniques in the transformation of data from one…
"
Business Analyst III,Thermo Fisher Scientific,,Paisley,"
Partner with system analysts on technical design and coordinate development work with development teams.
Solid organizational skills (especially as they relate…
"
newSAP Support Analyst,Stafffinders,,Glasgow,"
A prominent task within this role will also include monitoring data integration scenarios to identify and eliminate data replication problems, whilst supporting…
"
Business Test Analyst,Momentum Security Recruitment,"£25,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Technical Architect / Senior Analyst,Streamba,,Glasgow•Remote,"
Ability to perform ad-hoc data analysis.
Ability to analyse and understand external systems and methods of data transfer at scale.
"
SQL BI Developer,Ashdown Group,"£40,000 - £48,000 a year",Glasgow,"
The successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.
"
newInterim Finance Systems Analyst,Rutherford Cross,,Glasgow,"
Ensuring the integrity of the data and continuous improvement of the reporting from TM1.
Analysis of data from TM1 ensuring reports are meeting the needs of…
"
Digital & Technology Business Analyst,Diageo,,Glasgow,"
The analyst will s upport the Business Partner in preparing the robust business cases including the measures of success and roadmap to achievement .
"
Power BI Developer,MBN Recruitment Solutions,"£30,000 a year",Glasgow•Remote,"
Strong SQL skills for stored procedures and to translate meaning of the data.
The current Tabular models are built in SSAS within an on premise data warehouse.
"
Senior Cyber Defence Analyst,Matchtech,,Glasgow,"
Mentor junior analysts technically and conceptually.
Experience performing ""deep dive"" analysis and correlation of log data from multiple sources including PCAP…
"
Test Analyst (Business Process Testing),Momentum Security Recruitment,"£25,000 - £27,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Lead Power BI Developer,Kura,"£36,000 - £42,000 a year",Glasgow G4 0JY,"
Experienced data analysis practitioner, having implemented SQL, Power Query, M or DAX constructs to query, transform or process data.
"
Data Engineer Test Analyst,GCS Recruitment Specialists Ltd,,Glasgow,"
The Data Engineer Test Analysts will be involved in the creation and implementation of the Automation Framework including Knowledge Transfer for the existing…
"
Business Analyst,Michael Page UK,"£40,000 - £50,000 a year",Glasgow,"
Analysis of data to support senior management - both financial and operational datasets.
Preparing, analysing and maintaining management reporting, key datasets…
"
Credit Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
Providing support to the Lead Business Analyst, helping to define analysis approach in…
"
BI Developer,BAE Systems,,Scotstoun,"
Applying data analysis, design, modelling, and quality assurance techniques.
Applying ethical and robust techniques in the transformation of data from one…
"
Business Analyst III,Thermo Fisher Scientific,,Paisley,"
Partner with system analysts on technical design and coordinate development work with development teams.
Solid organizational skills (especially as they relate…
"
newSAP Support Analyst,Stafffinders,,Glasgow,"
A prominent task within this role will also include monitoring data integration scenarios to identify and eliminate data replication problems, whilst supporting…
"
Business Test Analyst,Momentum Security Recruitment,"£25,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Technical Architect / Senior Analyst,Streamba,,Glasgow•Remote,"
Ability to perform ad-hoc data analysis.
Ability to analyse and understand external systems and methods of data transfer at scale.
"
SQL BI Developer,Ashdown Group,"£40,000 - £48,000 a year",Glasgow,"
The successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.
"
newInterim Finance Systems Analyst,Rutherford Cross,,Glasgow,"
Ensuring the integrity of the data and continuous improvement of the reporting from TM1.
Analysis of data from TM1 ensuring reports are meeting the needs of…
"
Digital & Technology Business Analyst,Diageo,,Glasgow,"
The analyst will s upport the Business Partner in preparing the robust business cases including the measures of success and roadmap to achievement .
"
Power BI Developer,MBN Recruitment Solutions,"£30,000 a year",Glasgow•Remote,"
Strong SQL skills for stored procedures and to translate meaning of the data.
The current Tabular models are built in SSAS within an on premise data warehouse.
"
Senior Cyber Defence Analyst,Matchtech,,Glasgow,"
Mentor junior analysts technically and conceptually.
Experience performing ""deep dive"" analysis and correlation of log data from multiple sources including PCAP…
"
Test Analyst (Business Process Testing),Momentum Security Recruitment,"£25,000 - £27,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Lead Power BI Developer,Kura,"£36,000 - £42,000 a year",Glasgow G4 0JY,"
Experienced data analysis practitioner, having implemented SQL, Power Query, M or DAX constructs to query, transform or process data.
"
Credit Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
Providing support to the Lead Business Analyst, helping to define analysis approach in…
"
Performance Analyst - Research and Analysis (Graduates Welco...,Youturn,"£30,000 a year",United Kingdom,"
Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.
"
BI Developer,BAE Systems,,Scotstoun,"
Applying data analysis, design, modelling, and quality assurance techniques.
Applying ethical and robust techniques in the transformation of data from one…
"
Data Analyst,Robert Half,£115 - £120 an hour,Motherwell,"
Data mining and data QA.
Experience in Requirements gathering, analysis and documentation.
"
Business Analyst III,Thermo Fisher Scientific,,Paisley,"
Partner with system analysts on technical design and coordinate development work with development teams.
Solid organizational skills (especially as they relate…
"
newSAP Support Analyst,Stafffinders,,Glasgow,"
A prominent task within this role will also include monitoring data integration scenarios to identify and eliminate data replication problems, whilst supporting…
"
Business Test Analyst,Momentum Security Recruitment,"£25,000 a year",Glasgow•Remote,"
Understanding of data creation and manipulation for testing.
Generate the necessary test data for different stages of testing.
Job Types: Full-time, Permanent.
"
Technical Architect / Senior Analyst,Streamba,,Glasgow•Remote,"
Ability to perform ad-hoc data analysis.
Ability to analyse and understand external systems and methods of data transfer at scale.
"
SQL BI Developer,Ashdown Group,"£40,000 - £48,000 a year",Glasgow,"
The successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.
"
newInterim Finance Systems Analyst,Rutherford Cross,,Glasgow,"
Ensuring the integrity of the data and continuous improvement of the reporting from TM1.
Analysis of data from TM1 ensuring reports are meeting the needs of…
"
Digital & Technology Business Analyst,Diageo,,Glasgow,"
The analyst will s upport the Business Partner in preparing the robust business cases including the measures of success and roadmap to achievement .
"
Power BI Developer,MBN Recruitment Solutions,"£30,000 a year",Glasgow•Remote,"
Strong SQL skills for stored procedures and to translate meaning of the data.
The current Tabular models are built in SSAS within an on premise data warehouse.
"
Senior Cyber Defence Analyst,Matchtech,,Glasgow,"
Mentor junior analysts technically and conceptually.
Experience performing ""deep dive"" analysis and correlation of log data from multiple sources including PCAP…
"
